0,-0.17647058823529416
1,0.5
2,-0.891560915188483
3,1.0
4,1.0
5,1.0
6,-1.0
7,1.0
8,-1.0
9,0.5833333333333333
10,-0.75
11,-0.4285714285714286
12,0.0
13,0.7142857142857142
14,-0.3333333333333335
15,-0.25
16,-0.36666666666667425
17,-0.6
18,-0.7142857142857143
19,0.5
20,-1.0
21,1.0
22,1.0
23,-0.6
24,0.5
25,1.0
26,-0.5
27,-1.1102230246251565e-16
28,-0.5754783841247342
29,0.9999999999999998
30,-1.0
31,-1.0
32,-0.6
33,1.0
34,1.0
35,1.0
36,-1.0
37,-1.0
38,0.33333333333333326
39,-1.0
40,-1.0
41,1.0
42,-1.0
43,0.33333333333333326
44,1.0
45,1.0
46,0.6666666666666665
47,0.9999999999999999
48,1.0
49,-0.7199533255542591
50,-1.0
51,-1.0
52,-1.0
53,-1.0
54,-1.0
55,-1.0
56,0.0
57,1.0
58,-0.19999999999999996
